id,source,url,headline,abstract,img_url,publish_time
pingwest_news|313754,pingwest_news,https://www.pingwest.com/a/313754,Images 2.0进入“文艺复兴”时刻：周活15亿张，下一步是创作型智能体,上线两周，使用量涨了50%以上。,https://cdn.pingwest.com/portal/2026/05/15/jNtRXfkYBT8kE8Bd7dZ56zik5Bzxi8h6.png,2026-05-15 22:25:23
kr36_news|3810440762547716,kr36_news,https://36kr.com/p/3810440762547716,Hermes团队改写预训练：算力成本降六成，DeepSeek之后提效新路径,论文阅读量破 41 万！不改模型架构，也能把成本打下来。,https://img.36krcdn.com/hsossms/20260515/v2_74157decaa17470fa48b59ca5ab6be6a@000000@ai_oswg322227oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 20:52:38
kr36_news|3810475457110278,kr36_news,https://36kr.com/p/3810475457110278,实测淘宝、京东AI购：能用，但代替不了我,用AI买东西，靠谱吗？,https://img.36krcdn.com/hsossms/20260515/v2_cf8ec400cb7741c49cec01a838f999cd@46958@ai_oswg869752oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 20:46:44
x_tweets|2055266014728945836,x_tweets,https://x.com/garrytan/status/2055266014728945836,"Hard leftists and DSA-types will fight AI tooth and nail because AI is the universal solvent for socialism’s three prerequisites. AI will reduce scarcity (abundance), eliminate victimhood (agency), and eliminate the need for intermediaries (disintermediation).",,,2026-05-15 20:36:17
x_tweets|2055264678205624721,x_tweets,https://x.com/garrytan/status/2055264678205624721,"RT @is_OwenLewis: Not building datacenter is economic self-sabotage. It's also civilizational sabotage, but let's stick to the level most p…",,,2026-05-15 20:30:58
x_tweets|2055263898786545913,x_tweets,https://x.com/garrytan/status/2055263898786545913,RT @paulg: At one point my son and his friend kept looking for shortcuts to getting rich. Over and over I told them the way to do it is jus…,,,2026-05-15 20:27:53
kr36_news|3810350538137604,kr36_news,https://36kr.com/p/3810350538137604,天津机器人军团，其实超能打,天津机器人，闷声干大事,https://img.36krcdn.com/hsossms/20260515/v2_5aaeb6af1d9042f2b3d058aad4e9dfbd@46958@ai_oswg782833oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 20:27:28
x_tweets|2055263549354803568,x_tweets,https://x.com/garrytan/status/2055263549354803568,RT @fin465: talked to a bunch of current YC batch founders today The ones hitting $1m+ ARR (there are several this batch) are just ripping…,,,2026-05-15 20:26:29
x_tweets|2055262816643199133,x_tweets,https://x.com/danshipper/status/2055262816643199133,RT @GodsBoy7777: This is flippen amazing Codex teaching you to play piano 🎹,,,2026-05-15 20:23:35
kr36_news|3810362513891072,kr36_news,https://36kr.com/p/3810362513891072,吴恩达炮轰「AI就业末日论」：贩卖失业焦虑，其实就是一门生意,嘴上都是主义，那心里全是生意。,https://img.36krcdn.com/hsossms/20260515/v2_c648bcee471b48398648d1c77627f6e0@000000@ai_oswg357414oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 20:20:12
kr36_news|3810390772719108,kr36_news,https://36kr.com/p/3810390772719108,Token单价已死，交付结果当立,用户只在乎工作结果，而非Token,https://img.36krcdn.com/hsossms/20260515/v2_c8509d8438e14e12ab9e1e058cf360a2@46958@ai_oswg927656oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 20:17:42
wscn_news|3772368,wscn_news,https://wallstreetcn.com/articles/3772368,高盛：AI主线逻辑发生什么根本性变化？,高盛指出，AI投资逻辑正从“烧多少钱”转向“何时兑现回报”。谷歌云与AWS合计收入积压已飙升至8320亿美元，凸显AI需求远超算力供给；与此同时，谷歌、META等科技巨头继续上调资本开支预期。市场开始更关注自由现金流、利润率与AI收入转化路径，能清晰证明AI变现能力的公司获得更高估值，而回报逻辑模糊的企业则明显跑输。,https://wpimg-wscn.awtmt.com/4700b310-a920-4cc5-8f6c-4e62b3974f62.png,2026-05-15 19:45:22
kr36_news|3810432812162816,kr36_news,https://36kr.com/p/3810432812162816,Gemini 3.5 Pro全网首曝，编程追平GPT-5.5，谷歌终于狠起来了,【导读】Gemini 3.5代号「卡布奇诺」提前曝光，从3.2直接跳级命名！全新24小时Agent「Spark」能替你管邮件、跑任务，甚至不问你就下单花钱。,https://img.36krcdn.com/hsossms/20260515/v2_c5fb4a95e9c845e7b03aaee6eb848313@46958@ai_oswg850983oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 19:31:00
x_tweets|2055248853100630229,x_tweets,https://x.com/danshipper/status/2055248853100630229,RT @JeremyNguyenPhD: Learn to play piano with Codex! PS. What's the Pareto 80-20 I should ask for to learn just enough chords to accompany…,,,2026-05-15 19:28:05
kr36_news|3810329440248071,kr36_news,https://36kr.com/p/3810329440248071,被礼来反超后，诺和诺德牵手OpenAI,AI能加速下一代减重神药的研发吗？,https://img.36krcdn.com/hsossms/20260515/v2_daf37dc43e264196a4cfc6e9bf54d84b@46958@ai_oswg967861oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 19:27:27
kr36_news|3809741467639305,kr36_news,https://36kr.com/p/3809741467639305,这个男人，用AI拿捏了1000万女性的深夜需求,AI分级，或许已经不远了,https://img.36krcdn.com/hsossms/20260515/v2_67833fb3db7a4ca9b669086ac9108454@5091053@ai_oswg1105651oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 19:18:40
x_tweets|2055244994789716427,x_tweets,https://x.com/danshipper/status/2055244994789716427,codex teaches me to play piano: https://t.co/oxsWCfzzeh,,https://pbs.twimg.com/amplify_video_thumb/2055244875075932160/img/6sCOOq8pVml9MqxS.jpg,2026-05-15 19:12:46
kr36_news|3810396920962563,kr36_news,https://36kr.com/p/3810396920962563,别被 Codex 这名字骗了 ，它现在比 ChatGPT 还好用,Codex「手机版」上线,https://img.36krcdn.com/hsossms/20260515/v2_84a0e2fcefbd4ae19c3761e982b0a87c@46958@ai_oswg772137oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 19:04:25
kr36_news|3810342459285253,kr36_news,https://36kr.com/p/3810342459285253,Anthropic教会了模型懂道德，也打通了一条蒸馏你的新路,大蒸馏时代，才刚刚开始。,https://img.36krcdn.com/hsossms/20260515/v2_334e1e2edb584174877a1ea110ef7639@46958@ai_oswg1089111oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 18:42:00
kr36_news|3810317901586182,kr36_news,https://36kr.com/p/3810317901586182,巨头的AI牌桌上，万兴科技再“跟注”,接入HappyHorse之后，万兴科技会不会被重估？,https://img.36krcdn.com/hsossms/20260515/v2_633506b171b942fa84eb37cd80d2c84d@46958@ai_oswg885577oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 18:39:03
kr36_news|3810292758077696,kr36_news,https://36kr.com/p/3810292758077696,可灵凭什么单飞？营收仅快手1%，估值却1300亿,可灵是快手最值钱的家当？,https://img.36krcdn.com/hsossms/20260515/v2_775b5c6f9ccb4dfbbfec3cd16a1aa331@46958@ai_oswg846956oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 18:36:38
kr36_news|3810366269480705,kr36_news,https://36kr.com/p/3810366269480705,估值超越OpenAI，Anthropic被曝已敲定300亿美元融资条款,Anthropic投后估值飙升至约9000亿美元。,https://img.36krcdn.com/hsossms/20260515/v2_0f9c9c60bc494b47894ece95b4d9666d@46958@ai_oswg927780oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 18:34:05
kr36_news|3810392582413828,kr36_news,https://36kr.com/p/3810392582413828,Codex和ChatGPT合体，补上24小时干活的最后一块拼图,一键开启跨设备联动,https://img.36krcdn.com/hsossms/20260515/v2_01d7b6d5cc894bb7ba5eb8b3b2535afd@46958@ai_oswg814391oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 18:33:28
kr36_news|3810327955890185,kr36_news,https://36kr.com/p/3810327955890185,怎样防止AI勒索人类？答案是别给它喂坏科幻,Anthropic让AI从知其然向知其所以然进步。,https://img.36krcdn.com/hsossms/20260515/v2_dda380b921354ace9afdd9e44e853f12@46958@ai_oswg947450oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 18:29:51
kr36_news|3810340908817928,kr36_news,https://36kr.com/p/3810340908817928,日薪120元，全民数采，谁在训练下一个机器人保姆？,一种新的数字零工，两条具身大脑的训练路线。,https://img.36krcdn.com/hsossms/20260515/v2_c1fad23883274c3db75edf9acec64ee0@46958@ai_oswg914751oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-15 18:21:49
qbitai_news|418135,qbitai_news,https://www.qbitai.com/2026/05/418135.html,华为云创想者大会主题论坛议程公布：释放Agentic AI新布局,,https://www.qbitai.com/wp-content/uploads/2026/05/27a2fe43d11e1c34491f6a69eea453cf.jpeg,2026-05-15 18:14:54
kr36_news|3810380205989632,kr36_news,https://36kr.com/p/3810380205989632,36氪「属于年轻浪潮的派对」WAVES2026丨今年盛夏,WAVES新浪潮2026，致力于打造出一场聚焦青年创始人和投资人的商业新势力派对。,"https://img.36krcdn.com/hsossms/20260515/v2_8c770e92fd884eaf9f96f7338570df27@6381723_oswg541783oswg1053oswg495_img_png?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-05-15 18:01:55
qbitai_news|418140,qbitai_news,https://www.qbitai.com/2026/05/418140.html,容联云发布“数字员工”级 Al Agent 平台，重塑大模型联络中心,该平台以 AI Agent 为核心,https://www.qbitai.com/wp-content/uploads/2026/05/223c4d3ee11aafdd3f1b3851a948c823.jpeg,2026-05-15 16:18:22
techcrunch_news|3116150,techcrunch_news,https://techcrunch.com/2026/05/15/runway-started-by-helping-filmmakers-now-it-wants-to-beat-google-at-ai,Runway started by helping filmmakers. Now it wants to beat Google at AI.,"AI video generation startup Runway is betting that video generation is the path to world models. And that being an AI outsider is an advantage, not a liability.",,2026-05-15 15:00:00
ifanr_news|1666088,ifanr_news,https://www.ifanr.com/1666088,舍弃第三排，换来媲美 MPV 的越级大二排！乐道 L80 租电 15.68 万元起，还有巨大的前后备舱,好就是大。,https://s3.ifanr.com/wp-content/uploads/2026/05/000-1.jpg,2026-05-15 13:33:14
techcrunch_news|3122568,techcrunch_news,https://techcrunch.com/2026/05/15/osaurus-brings-both-local-and-cloud-ai-models-to-your-mac,Osaurus brings both local and cloud AI models to your Mac,"Osaurus￼ combines local and cloud AI models in a Mac app that keeps users’ memory, files, and tools on their own hardware.",https://techcrunch.com/wp-content/uploads/2026/05/osaurus-techcrunch-2-1.png,2026-05-15 13:19:48
ifanr_news|1666069,ifanr_news,https://www.ifanr.com/1666069,理想 L9 Livis 限时 48.98 万元起！线控转向全系标配，内饰全面翻新,把家装进车里，把纯电融进增程。,https://s3.ifanr.com/wp-content/uploads/2026/05/gdlgfl.jpeg,2026-05-15 13:14:24
verge_news|dmcyOnBvc3Q6OTMxMDA2,verge_news,https://www.theverge.com/ai-artificial-intelligence/931006/musk-v-altman-closing-arguments-analysis,Closing time,What did we learn throughout Musk v. Altman? A lot of gossip.,"https://platform.theverge.com/wp-content/uploads/sites/2/2026/05/STKE010_MuskvAltman_AParkin06.jpg?quality=90&strip=all&crop=0,0,100,100",2026-05-15 06:21:46
verge_news|dmcyOnBvc3Q6OTMwODkz,verge_news,https://www.theverge.com/ai-artificial-intelligence/930893/elon-musk-sam-altman-trial-ai-safety-jackass-statue,"Behold, the Elon Musk jackass trophy","Unfortunately, Musk v. Altman jurors didn’t get to see the trophy for themselves.","https://platform.theverge.com/wp-content/uploads/sites/2/2026/05/STKE010_MuskvAltman_AParkin05.jpg?quality=90&strip=all&crop=0,0,100,100",2026-05-15 04:59:23
